Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Мазепа,Аарон,Борисович,Чоловіча,07-06-2004,Історик,село Моршин,"набережна 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 0, Зміїв, 66094",022 225-45-09,iustym43@example.org
Карпа,Юхим,Романович,Чоловіча,17-07-1999,Диригент,село Черкаси,"набережна Прорізний, буд. 874, Кам'янське, 41439",+380 74 219 70 62,fdutka@example.net
Шморгун,Леопольд,Олександрович,Чоловіча,29-06-1980,Різноробочий,село Монастирище,"набережна Вчительської, 2-й, буд. 8 кв. 14, Краматорськ, 42990",+380 (49) 288-84-18,sofiiabevz@example.net
Іщенко,Олександр,Григорійович,Чоловіча,09-03-1942,Гінеколог,хутір Біляївка,"сквер Отрада, буд. 822, Яремче, 12812",629-42-54,iaremchukkyrylo@example.org
Ющенко,Леонтій,Олегович,Чоловіча,30-08-1990,Бізнесмен,хутір Старокостянтинів,"сквер Севастопольський, буд. 3, Торецьк, 38306",+380 74 498-66-31,irynaprymachenko@example.org
Шамрай,Ярема,Дмитрович,Чоловіча,25-03-1985,Режисер,хутір Берислав,"шосе Аркадіївський, буд. 6, Могилів-Подільський, 22596",+380 24 994-91-86,eriabovil@example.net
Жадан,Ярина,Юріївна,Жіноча,01-10-1952,Доцент,село Василівка,"проспект Кінна, буд. 55 кв. 94, Вознесенівка, 74907",+380 86 350-65-93,tarasenkosemen@example.com
Артюшенко,Сергій,Семенович,Чоловіча,13-01-1949,Хореограф,село Бобровиця,"набережна Чорноморський 6-й, буд. 9, Вашківці, 68418",591 10 30,rbashtan@example.net
Абрагамовська,Мирон,Володимирович,Чоловіча,12-03-1990,Модель,місто Старий Крим,"сквер В’ячеслава Чорновола, буд. 3, Конотоп, 01056",493-91-19,khudobiakirena@example.net
Чумак,Венедикт,Володимирович,Чоловіча,04-05-1986,Продюсер,село Шахтарськ,"сквер Пілотна, буд. 506, Герца, 01821",429 66 72,serhii10@example.org
Семенченко,Борислав,Іванович,Чоловіча,23-04-1943,Фрілансер,місто Новий Калинів,"сквер Десятого квітня, буд. 774, Овруч, 27871",072 871-83-68,zakhar81@example.net
Вовк,Станіслав,Максимович,Чоловіча,15-05-1996,Електрик,хутір Верхівцеве,"набережна Пересипська 9-та, буд. 1, Свалява, 29706",078 094 00 12,ydurdynets@example.org
Гриценко,Юстим,Андрійович,Чоловіча,12-06-1984,Ветеринар,місто Верхівцеве,"набережна Грецька, буд. 96, Білогірськ, 56567",253 87 96,nestorprymachenko@example.org
Андрійчук,Ірена,Сергіївна,Жіноча,19-03-1999,Стоматолог,хутір Шпола,"площа Кінна, буд. 197 кв. 488, Житомир, 34508",+380 (87) 516-53-79,onysymmykhailychenko@example.net
Влох,Юхим,Євгенович,Чоловіча,19-10-2003,Петрограф,місто Отаманівка,"вулиця Львівська, буд. 6, Чернігів, 07935",290 98 32,xishchak@example.net
Дараган,Давид,Семенович,Чоловіча,22-02-1978,Музикант,місто Жидачів,"площа Станційна 3-тя, буд. 5 кв. 91, Богуслав, 35174",276-87-75,qkhrystenko@example.org
Корж,Аніта,Ігорівна,Жіноча,12-11-2004,Парфюмер,місто Очаків,"вулиця Офіцерський 2-й, буд. 359 кв. 37, Самар, 63380",+380 68 251-90-32,khoma58@example.com
Іщенко,Костянтин,Олегович,Чоловіча,19-01-1981,Ювелір,селище Старий Крим,"шосе Уральська, буд. 83, Алмазна, 80323",+380 (69) 456-98-59,marianahaidai@example.org
Ільєнко,Маруся,Юріївна,Жіноча,14-03-1965,Мікробіолог,місто Ржищів,"набережна Капітана Гаврікова, буд. 5, Рожище, 60552",067 140 96 14,halynabashtan@example.org
Ткаченко,Григорій,Арсенович,Чоловіча,25-12-2001,Клавішник,селище Старий Самбір,"парк Південна дорога, буд. 437 кв. 10, Токмак, 57902",+380 (65) 789-45-67,anosachenko@example.com
Дрозденко,Пармен,Семенович,Чоловіча,13-11-1987,Історик,селище Вуглегірськ,"шосе Дідріхсона, буд. 2, Кадіївка, 51788",+380 54 103 45 50,ruslan94@example.com
Перебийніс,Мирон,Романович,Чоловіча,10-03-1954,Льотчик,селище Харків,"площа Старобазарний, буд. 444 кв. 194, Волноваха, 97988",501 12 85,nisaievych@example.com
Закусило,Ганна,Григорівна,Жіноча,03-07-1978,Ріелтор,хутір Славутич,"проспект Педагогічна, буд. 25, Радивилів, 95570",044 465-11-84,ostapchukdanylo@example.com
Захарченко,Болеслав,Борисович,Чоловіча,09-08-1953,Фермер,село Тячів,"шосе Святослава Ріхтера, буд. 94 кв. 595, Чуднів, 57967",+380 13 615 55 25,leopoldshvachko@example.org
Царенко,Максим,Ігорович,Чоловіча,02-03-1976,Євнух,селище Борзна,"площа Матроський узвіз, буд. 34, Перевальськ, 68896",097 955 79 20,violettahuzii@example.net
Орлик,Святослава,Андріївна,Жіноча,31-08-1949,Піаніст,хутір Іршава,"сквер Йоганна Ансельма, буд. 630, Миргород, 76281",286 28 62,korpaniukpavlo@example.org
Шиян,Аліна,Володимирівна,Жіноча,28-03-1964,Секретар,хутір Радомишль,"провулок Довга, буд. 0, Тисмениця, 41824",178-69-91,roman47@example.net
Дерегус,Марʼяна,Дмитрівна,Жіноча,31-01-1980,Археолог,село Гірник,"вулиця Чернівецький, буд. 8 кв. 24, Узин, 23761",+380 58 376-27-01,ostapchukiaryna@example.net
Тригуб,Олесь,Романович,Чоловіча,30-09-2003,Мірошник,місто Кам'янка (Черкаська область),"сквер Агрономічна, буд. 301 кв. 43, Моршин, 29240",019 480-54-92,stanislavkabanenko@example.net
Пушкар,Альберт,Юрійович,Чоловіча,17-07-1946,Педагог,місто Валки,"парк Танкерна, буд. 9, Ямпіль, 37660",+380 51 895-76-76,hryhorii63@example.org
Баран,Прохір,Андрійович,Чоловіча,08-12-1975,Фізик,селище Бобровиця,"парк Петра Болбочана, буд. 60, Знам'янка, 83299",079 505 85 88,maksym04@example.net
Рубан,Едуард,Іванович,Чоловіча,25-01-1963,Паблік рилейшнз,хутір Волочиськ,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 330, Дубно, 55198",953-58-70,uverkhovynets@example.net
Кабаненко,Демид,Арсенович,Чоловіча,12-12-1963,Стоматолог,хутір Зеленодольськ,"сквер Глухий міст, буд. 32 кв. 537, Тульчин, 63852",+380 46 539-00-33,nbaida@example.net
Даценко,Людмила,Олександрівна,Жіноча,31-10-2001,Музикознавець,село Липовець,"сквер Парашутний, буд. 371 кв. 624, Корець, 94398",880-48-27,zakharduplii@example.net
Єрмоленко,Марина,Семенівна,Жіноча,01-01-1983,Петрограф,місто Косів,"вулиця Василя Симоненка, буд. 158 кв. 45, Рава-Руська, 70043",008 937 13 53,hordiibevzenko@example.com
Лагода,Леопольд,Олегович,Чоловіча,06-04-1962,Біолог,місто Хутір-Михайлівський,"шосе Шефська, буд. 43, Івано-Франківськ, 82968",+380 02 700-94-86,iashchukbohdanna@example.org
Євдокименко,Євген,Олегович,Чоловіча,26-07-1974,Слідчий,село Бахмач,"сквер Лінія 54-та, буд. 0, Білогірськ, 15581",+380 27 225 79 02,roksolana71@example.net
Носаченко,Орина,Григорівна,Жіноча,18-09-2002,Пілот,місто Зимогір'я,"вулиця Зоопаркова, буд. 3 кв. 405, Нова Каховка, 24029",+380 (14) 098-05-01,taranmykolai@example.net
Дутка,Богуслав,Євгенович,Чоловіча,11-04-1983,Ріелтор,село Теребовля,"парк Безіменний, буд. 868 кв. 2, Лубни, 77925",+380 59 068-84-48,olha56@example.com
Байрак,Еріка,Борисівна,Жіноча,20-01-1939,Етнограф,місто Бровари,"проспект 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 611, Докучаєвськ, 10669",318 46 22,liza23@example.org
Власенко,Антон,Григорійович,Чоловіча,29-06-1941,Бібліограф,селище Кривий Ріг,"узвіз Баркасний, буд. 8 кв. 20, Бердянськ, 30202",953 83 05,havrylyshynaklyment@example.net
